geo_padre_nombre,geografia_nombre,SublineaTematica,Indicador,Valor
BOGOTA D.C.,TUNJUELITO,DEMOGRAFIA,POBLACION POR (# personas),200048
BOGOTA D.C.,TUNJUELITO,SUELO,DENSIDAD POBLACIONAL POR KM2 (km2),20184.56425
BOGOTA D.C.,TUNJUELITO,SUELO,EXTENSION TERRITORIAL AREA HECTAREAS (ha2),991.093974
BOGOTA D.C.,TUNJUELITO,SUELO,EXTENSION TERRITORIAL AREA KM2 (km2),9.91094
BOGOTA D.C.,USAQUEN,DEMOGRAFIA,POBLACION POR (# personas),494066
BOGOTA D.C.,USAQUEN,SUELO,DENSIDAD POBLACIONAL POR KM2 (km2),7564.27377
BOGOTA D.C.,USAQUEN,SUELO,EXTENSION TERRITORIAL AREA HECTAREAS (ha2),6531.572165
BOGOTA D.C.,USAQUEN,SUELO,EXTENSION TERRITORIAL AREA KM2 (km2),65.315722
BOGOTA D.C.,USME,DEMOGRAFIA,POBLACION POR (# personas),432724
BOGOTA D.C.,USME,SUELO,DENSIDAD POBLACIONAL POR KM2 (km2),2012.045691
BOGOTA D.C.,USME,SUELO,EXTENSION TERRITORIAL AREA HECTAREAS (ha2),21506.66866
BOGOTA D.C.,USME,SUELO,EXTENSION TERRITORIAL AREA KM2 (km2),215.066687
